Fachgruppe_ID,sparte,sparte_name
101,1,Gewerbe und Handwerk
103,1,Gewerbe und Handwerk
104,1,Gewerbe und Handwerk
105,1,Gewerbe und Handwerk
106,1,Gewerbe und Handwerk
107,1,Gewerbe und Handwerk
108,1,Gewerbe und Handwerk
110,1,Gewerbe und Handwerk
111,1,Gewerbe und Handwerk
112,1,Gewerbe und Handwerk
113,1,Gewerbe und Handwerk
114,1,Gewerbe und Handwerk
115,1,Gewerbe und Handwerk
116,1,Gewerbe und Handwerk
117,1,Gewerbe und Handwerk
118,1,Gewerbe und Handwerk
119,1,Gewerbe und Handwerk
120,1,Gewerbe und Handwerk
121,1,Gewerbe und Handwerk
122,1,Gewerbe und Handwerk
123,1,Gewerbe und Handwerk
124,1,Gewerbe und Handwerk
125A,1,Gewerbe und Handwerk
125B,1,Gewerbe und Handwerk
126,1,Gewerbe und Handwerk
127,1,Gewerbe und Handwerk
128,1,Gewerbe und Handwerk
129,1,Gewerbe und Handwerk
201,2,Industrie
202,2,Industrie
203,2,Industrie
204,2,Industrie
205,2,Industrie
206,2,Industrie
207,2,Industrie
209,2,Industrie
210,2,Industrie
211,2,Industrie
212,2,Industrie
213,2,Industrie
215,2,Industrie
216,2,Industrie
217,2,Industrie
218,2,Industrie
299,2,Industrie
301,3,Handel
302,3,Handel
303,3,Handel
304A,3,Handel
304B,3,Handel
305,3,Handel
306,3,Handel
307,3,Handel
308,3,Handel
309,3,Handel
310,3,Handel
311,3,Handel
312,3,Handel
313,3,Handel
314,3,Handel
315,3,Handel
316,3,Handel
317,3,Handel
318,3,Handel
320,3,Handel
401,4,Bank und Versicherung
402,4,Bank und Versicherung
404,4,Bank und Versicherung
405,4,Bank und Versicherung
406,4,Bank und Versicherung
501,5,Transport und Verkehr
502,5,Transport und Verkehr
503,5,Transport und Verkehr
504,5,Transport und Verkehr
505,5,Transport und Verkehr
506,5,Transport und Verkehr
507,5,Transport und Verkehr
508,5,Transport und Verkehr
601,6,Tourismus und Freizeitwirtschaft
602,6,Tourismus und Freizeitwirtschaft
603,6,Tourismus und Freizeitwirtschaft
604,6,Tourismus und Freizeitwirtschaft
605,6,Tourismus und Freizeitwirtschaft
606,6,Tourismus und Freizeitwirtschaft
701,7,Information und Consulting
702,7,Information und Consulting
703,7,Information und Consulting
704,7,Information und Consulting
705,7,Information und Consulting
706,7,Information und Consulting
707,7,Information und Consulting
708,7,Information und Consulting
709,7,Information und Consulting
710,7,Information und Consulting
