term,coefficient,std_error,p_value,ci_lower,ci_upper,hazard_ratio,hr_ci_lower,hr_ci_upper
log_own_pop,0.044705082250239794,0.15070986850162238,0.7667489337735536,-0.2506808321277076,0.34009099662818715,1.0457194132115248,0.7782707309359423,1.4050754418740456
log_pop_ring_0_5,0.03151433861841777,0.24792721660254752,0.8988523468174392,-0.4544140767098363,0.5174427539466718,1.0320161731756654,0.6348198147152485,1.677731786261085
log_pop_ring_5_10,-0.10362481630312004,0.3187301399171828,0.745091978427521,-0.7283244113282106,0.5210747787219705,0.9015634858974474,0.4827171482160495,1.6838364290712222
log_pop_ring_10_15,0.008850892907915726,0.34199856852773,0.9793531224646758,-0.6614539841706886,0.67915576998652,1.008890177877365,0.5161003868980025,1.9722120286233806
log_pop_ring_15_30,0.11024001883551554,0.5385983788947005,0.8378225786537743,-0.9453934059297555,1.1658734436007865,1.1165460303778818,0.3885266921274653,3.20872429929114
log_own_same,-0.758166227595737,0.8442521939786726,0.36916802148414596,-2.4128701216628587,0.8965376664713847,0.46852480759493365,0.0895578833271394,2.451101870396128
log_own_other,0.02797488639070931,0.6459096938325233,0.96545375644857,-1.2379848507863296,1.293934623567748,1.0283698580183087,0.2899679582826874,3.6471083603299532
log_same_ring_0_5,0.005753907392308531,0.44483631916561045,0.9896797413828587,-0.8661092571876525,0.8776170719722696,1.0057704929127056,0.42058475711220134,2.4051615454622963
log_same_ring_5_10,-0.06423201022854624,0.3529020758884638,0.8555742034330324,-0.7559073690393563,0.6274433485822637,0.937787398020275,0.4695843350762898,1.872816314757946
log_same_ring_10_15,-0.03539794201637045,0.33532741527739446,0.9159296169703548,-0.6926275989889699,0.6218317149562289,0.9652212377366601,0.5002598582884306,1.8623361885668939
log_same_ring_15_30,0.027609210974572102,0.26013392134793684,0.9154755554205255,-0.4822439060245592,0.5374623279737034,1.0279938771901975,0.6173964566833567,1.7116577202556242
log_other_ring_0_5,-0.14984097987859005,0.3131578546900804,0.6323058574067159,-0.7636190965469752,0.4639371367897952,0.8608448571950773,0.4659769560820195,1.5903229944889714
log_other_ring_5_10,0.20628598034722684,0.3999322300111496,0.6059924676010884,-0.5775667867314154,0.9901387474258689,1.2291046535146792,0.5612623774917582,2.691607900110182
log_other_ring_10_15,0.003159846263385717,0.45196974093162134,0.9944218123882445,-0.8826845680644908,0.8890042605912623,1.0031648438400615,0.4136708920372483,2.4327061035419453
log_other_ring_15_30,-0.13452770314600382,0.7480812010714367,0.8572857572874298,-1.6007399147574861,1.3316845084654787,0.8741286624271764,0.2017471870344096,3.787417954662243
calendar_year,0.3538137374795121,0.025957250932485847,2.6328993202175422e-42,0.3029384605141711,0.4046890144448531,1.4244898327012754,1.3538311478059482,1.498836311129222
