year,status,started_at,finished_at,duration_minutes,graph_path_wsl,manifest_path_wsl,error_message,valhalla_image,valhalla_image_id,osm_snapshot_sha256
2015,done,2026-08-15T22:04:25,2026-08-15T22:05:28,1.05,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2015,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2015/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,22a12e0d851fb4bc4948a24bfc5bbc6d7f7b04fffb96b3c0f024192c32e7eae1
2016,done,2026-08-15T22:05:29,2026-08-15T22:07:02,1.55,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2016,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2016/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,5cfcfc23c27794467ec2b16b904d8a220c5b84fcf61195a59aa41c945f03dc35
2017,done,2026-08-15T22:07:04,2026-08-15T22:08:38,1.57,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2017,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2017/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,8e2f19c0110e787b16de06b4994c2c0a858819ae6887710f168c2132e01f499c
2018,done,2026-08-15T22:08:39,2026-08-15T22:10:12,1.55,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2018,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2018/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,c0d2ddacf57664cb7ad18252a4e558313afcae1a362f42188f01ad5753d387e5
2019,done,2026-08-15T22:10:14,2026-08-15T22:11:47,1.55,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2019,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2019/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,774c818104786390098e46ea6ccbf0365ec53d1366eaf6ef37b9004eec8b6d67
2020,done,2026-08-15T22:11:49,2026-08-15T22:13:24,1.58,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2020,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2020/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,74a1037ce41f06ac1c383deb7d683ecc8afad228079d1ae1a4e9c0c55d58c2cc
2021,done,2026-08-15T22:13:26,2026-08-15T22:15:00,1.57,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2021,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2021/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,1a2377bcb1a0d323960162a1974eac6479d4b04c64e4d08cf39a18cbdb9869d0
2022,done,2026-08-15T22:15:02,2026-08-15T22:16:36,1.57,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2022,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2022/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,0c5d2c0da8123a7a8f17e9b2931a6c0501d2b02e2342bb49520e35d288c61547
2023,done,2026-08-15T22:16:38,2026-08-15T22:18:13,1.58,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2023,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2023/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,63f4405f1fe820c114efcddb7134fb1e3268289a744ed360287104b871c79942
2024,done,2026-08-15T22:18:14,2026-08-15T22:19:47,1.55,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2024,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2024/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,6e11dbcf21fa738cf694ac6eb4326ca5ba49b0856c0dfe77b3deee61b9653202
2025,done,2026-08-15T22:19:49,2026-08-15T22:21:22,1.55,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2025,$HOME/gruendungsanalyse/data/routing/valhalla_graphs/2025/build_manifest.json,,ghcr.io/valhalla/valhalla-scripted:3.8.3,sha256:24ef7955899dececb94e26c6dfb89d64fabfae875f980432694b0261eb6c251b,c4a94a0e465f391e699b84f80da0ad2caf5dd8c77c8377291ad3e12836bd009f
