year,status,start_time,end_time,duration_minutes,slice_count,retries,failures,nearest_rows,accessibility_rows,pedestrian_rows,firm_rows,fachgruppe_rows,firm_mass_source,output_paths
2015,done,2026-08-21T22:37:31,2026-08-22T01:05:37,148.1,4,0,0,125473,501892,501892,35615,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2015\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2015\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2015\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2015\\fachgruppe_accessibility_quarter_100m.parquet""}"
2016,done,2026-08-22T01:05:37,2026-08-22T03:46:33,160.92,4,0,0,125473,501892,501892,35988,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2016\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2016\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2016\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2016\\fachgruppe_accessibility_quarter_100m.parquet""}"
2017,done,2026-08-22T03:46:34,2026-08-22T06:31:11,164.63,4,0,0,125473,501892,501892,36337,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2017\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2017\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2017\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2017\\fachgruppe_accessibility_quarter_100m.parquet""}"
2018,done,2026-08-22T06:31:12,2026-08-22T09:17:21,166.15,4,0,0,125473,501892,501892,36610,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2018\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2018\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2018\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2018\\fachgruppe_accessibility_quarter_100m.parquet""}"
2019,done,2026-08-22T09:17:22,2026-08-22T12:17:54,180.54,4,0,0,125473,501892,501892,36875,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2019\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2019\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2019\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2019\\fachgruppe_accessibility_quarter_100m.parquet""}"
2020,done,2026-08-22T12:17:55,2026-08-22T15:22:19,184.39,4,0,0,125473,501892,501892,37115,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2020\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2020\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2020\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2020\\fachgruppe_accessibility_quarter_100m.parquet""}"
2021,done,2026-08-22T15:22:20,2026-08-22T18:15:01,172.69,4,0,0,125473,501892,501892,37169,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2021\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2021\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2021\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2021\\fachgruppe_accessibility_quarter_100m.parquet""}"
2022,done,2026-08-22T18:15:02,2026-08-22T21:32:38,197.6,4,0,0,125473,501892,501892,37083,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2022\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2022\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2022\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2022\\fachgruppe_accessibility_quarter_100m.parquet""}"
2023,done,2026-08-22T21:32:39,2026-08-23T00:52:52,200.22,4,0,0,125473,501892,501892,36719,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2023\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2023\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2023\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2023\\fachgruppe_accessibility_quarter_100m.parquet""}"
2024,done,2026-08-23T00:52:53,2026-08-23T04:22:42,209.83,4,0,0,125473,501892,501892,36148,47679740,active_firms_tminus1,"{""potentials"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2024\\accessibility_potentials_100m.parquet"", ""pedestrian"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2024\\pedestrian_accessibility_quarter_100m.parquet"", ""firm"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2024\\firm_accessibility_quarter_100m.parquet"", ""fachgruppe"": ""d:\\CO2_Masterarbeit\\CO2_Masterarbeit\\ANAL\\data\\routing\\features\\2024\\fachgruppe_accessibility_quarter_100m.parquet""}"
