poi_type,name,municipality_name,source_note
regional_centre,Graz,Graz,curated_static_centres
regional_centre,Bruck an der Mur,Bruck an der Mur,curated_static_centres
regional_centre,Leoben,Leoben,curated_static_centres
regional_centre,Liezen,Liezen,curated_static_centres
regional_centre,Murau,Murau,curated_static_centres
regional_centre,Judenburg,Judenburg,curated_static_centres
regional_centre,Deutschlandsberg,Deutschlandsberg,curated_static_centres
regional_centre,Leibnitz,Leibnitz,curated_static_centres
regional_centre,Voitsberg,Voitsberg,curated_static_centres
regional_centre,Weiz,Weiz,curated_static_centres
regional_centre,Hartberg,Hartberg,curated_static_centres
regional_centre,Fürstenfeld,Fürstenfeld,curated_static_centres
regional_centre,Feldbach,Feldbach,curated_static_centres
urban_centre,Graz,Graz,curated_static_centres
urban_centre,Bruck an der Mur,Bruck an der Mur,curated_static_centres
urban_centre,Leoben,Leoben,curated_static_centres
urban_centre,Kapfenberg,Kapfenberg,curated_static_centres
urban_centre,Knittelfeld,Knittelfeld,curated_static_centres
urban_centre,Judenburg,Judenburg,curated_static_centres
urban_centre,Liezen,Liezen,curated_static_centres
urban_centre,Murau,Murau,curated_static_centres
urban_centre,Deutschlandsberg,Deutschlandsberg,curated_static_centres
urban_centre,Leibnitz,Leibnitz,curated_static_centres
urban_centre,Voitsberg,Voitsberg,curated_static_centres
urban_centre,Köflach,Köflach,curated_static_centres
urban_centre,Weiz,Weiz,curated_static_centres
urban_centre,Gleisdorf,Gleisdorf,curated_static_centres
urban_centre,Hartberg,Hartberg,curated_static_centres
urban_centre,Fürstenfeld,Fürstenfeld,curated_static_centres
urban_centre,Feldbach,Feldbach,curated_static_centres
urban_centre,Bad Radkersburg,Bad Radkersburg,curated_static_centres
urban_centre,Mürzzuschlag,Mürzzuschlag,curated_static_centres
