year,month,expected_component_weekdays,covered_component_weekdays,missing_component_weekdays,missing_pct
2021,1,147,147,0,0.0
2021,2,140,140,0,0.0
2021,3,161,161,0,0.0
2021,4,154,154,0,0.0
2021,5,147,147,0,0.0
2021,6,154,154,0,0.0
2021,7,154,154,0,0.0
2021,8,154,154,0,0.0
2021,9,154,154,0,0.0
2021,10,147,147,0,0.0
2021,11,154,154,0,0.0
2021,12,161,56,105,65.21739130434783
2022,1,147,137,10,6.802721088435374
2022,2,140,140,0,0.0
2022,3,161,161,0,0.0
2022,4,147,147,0,0.0
2022,5,154,154,0,0.0
2022,6,154,154,0,0.0
2022,7,147,147,0,0.0
2022,8,161,161,0,0.0
2022,9,154,154,0,0.0
2022,10,147,147,0,0.0
2022,11,154,154,0,0.0
2022,12,154,49,105,68.18181818181819
2023,1,176,149,27,15.340909090909092
2023,2,160,140,20,12.5
2023,3,184,161,23,12.5
2023,4,160,139,21,13.125
2023,5,184,161,23,12.5
2023,6,176,154,22,12.5
2023,7,168,147,21,12.5
2023,8,184,161,23,12.5
2023,9,168,162,6,3.5714285714285716
2023,10,176,176,0,0.0
2023,11,176,176,0,0.0
2023,12,168,48,120,71.42857142857143
2024,1,184,174,10,5.434782608695652
2024,2,168,168,0,0.0
2024,3,168,168,0,0.0
2024,4,176,176,0,0.0
2024,5,184,174,10,5.434782608695652
2024,6,160,140,20,12.5
2024,7,184,143,41,22.282608695652176
2024,8,176,132,44,25.0
2024,9,168,158,10,5.9523809523809526
2024,10,184,184,0,0.0
2024,11,168,168,0,0.0
2024,12,176,80,96,54.54545454545455
2025,1,184,184,0,0.0
2025,2,160,160,0,0.0
2025,3,168,168,0,0.0
2025,4,176,176,0,0.0
2025,5,176,176,0,0.0
2025,6,168,168,0,0.0
2025,7,184,184,0,0.0
2025,8,168,168,0,0.0
2025,9,176,176,0,0.0
2025,10,184,184,0,0.0
2025,11,160,160,0,0.0
2025,12,184,80,104,56.52173913043478
