year,stops,located_stops,total_avg_departures,median_avg_departures,median_weekday_line_count,max_weekday_line_count
2015,7561,7561,225279.0,7.0,1.0,67
2016,7561,7561,225279.0,7.0,1.0,67
2017,7561,7561,225279.0,7.0,1.0,67
2018,7443,7443,217130.0,7.0,1.0,57
2019,7425,7425,234303.0,7.0,1.0,59
2020,7116,7116,238252.0,8.5,1.0,60
2021,7110,7110,239228.55,8.0,1.0,128
2022,7032,7032,268801.775,10.0,1.0,124
2023,7020,7020,288615.94999999995,10.5,1.0,139
2024,7030,7030,277425.25,10.5,1.0,74
2025,7085,7085,292697.0,10.5,1.0,86
