NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_CODE;LAU_CODE;LAU_NAME;POP_2002;POP_2003;POP_2004;POP_2005;POP_2006;POP_2007;POP_2008;POP_2009;POP_2010;POP_2011;POP_2012;POP_2013;POP_2014;POP_2015;POP_2016;POP_2017;POP_2018;POP_2019;POP_2020;POP_2021;POP_2022;POP_2023;POP_2024;POP_2025
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz ;232930;235485;237658;241298;244997;247624;250177;252502;255152;258847;262223;265778;269997;274207;280258;283869;286292;288806;291072;291134;292630;298479;302749;305314
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;2975;2920;2908;2946;2920;2936;2924;2946;2902;2917;2943;2910;2888;2880;2823;2834;2894;2911;2930;2994;3040;3135;3213;3170
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach ;3182;3172;3171;3206;3252;3273;3278;3290;3295;3301;3314;3339;3337;3376;3394;3398;3459;3509;3537;3590;3647;3649;3668;3670
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn ;1746;1722;1703;1628;1601;1616;1616;1618;1612;1647;1668;1637;1635;1624;1627;1646;1619;1625;1627;1602;1602;1591;1576;1561
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding ;1626;1618;1673;1688;1677;1681;1702;1683;1695;1717;1693;1693;1687;1728;1703;1747;1767;1782;1782;1815;1905;1900;1916;1896
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;1331;1313;1327;1361;1355;1360;1360;1372;1354;1351;1398;1433;1438;1474;1511;1560;1601;1622;1619;1671;1693;1714;1700;1675
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;1266;1293;1290;1309;1354;1334;1310;1311;1320;1329;1357;1347;1336;1322;1321;1300;1268;1256;1256;1258;1240;1274;1292;1271
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten ;1461;1467;1469;1489;1495;1507;1503;1502;1514;1519;1537;1557;1555;1553;1622;1620;1600;1604;1621;1645;1662;1660;1670;1649
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg ;11182;11167;11239;11352;11407;11351;11336;11351;11319;11309;11289;11265;11382;11433;11656;11640;11604;11663;11663;11623;11676;11721;11753;11757
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald ;7199;7096;7101;6984;6939;6916;6850;6886;6836;6768;6716;6708;6669;6585;6590;6575;6485;6446;6391;6373;6365;6309;6301;6154
