sparte,fachgruppe,sum_total_members
Gewerbe und Handwerk,101 - LI Bau,3037
Gewerbe und Handwerk,"103 - LI Dachdecker, Glaser und Spengler",431
Gewerbe und Handwerk,"104 - LI Hafner, Platten- und Fliesenleger und Keramiker",356
Gewerbe und Handwerk,105 - LI Maler und Tapezierer,921
Gewerbe und Handwerk,106 - LI Bauhilfsgewerbe,1760
Gewerbe und Handwerk,107 - LI Holzbau,392
Gewerbe und Handwerk,108 - LI Tischler und Holzgestalter,1672
Gewerbe und Handwerk,110 - LI Metalltechniker,1759
Gewerbe und Handwerk,"111 - LI Sanitär-, Heizungs- und Lüftungstechniker",1039
Gewerbe und Handwerk,"112 - LI Elektro-, Gebäude-, Alarm- und Kommunikationstechniker",2373
Gewerbe und Handwerk,113 - Fv Kunststoffverarbeiter,101
Gewerbe und Handwerk,114 - LI Mechatroniker,1368
Gewerbe und Handwerk,115 - LI Fahrzeugtechnik,1576
Gewerbe und Handwerk,116 - LI Kunsthandwerke,2090
Gewerbe und Handwerk,117 - LI Mode und Bekleidungstechnik,812
Gewerbe und Handwerk,118 - LI Gesundheitsberufe,323
Gewerbe und Handwerk,119 - LI Lebensmittelgewerbe,1065
Gewerbe und Handwerk,"120 - LI Fußpfleger, Kosmetiker und Masseure",3922
Gewerbe und Handwerk,121 - LI Gärtner und Floristen,858
Gewerbe und Handwerk,122 - LI Berufsfotografie,1592
Gewerbe und Handwerk,"123 - LI Chemische Gewerbe u.Denkmal-,Fassaden- u.Gebäudereiniger",2312
Gewerbe und Handwerk,124 - LI Friseure,1702
Gewerbe und Handwerk,125A - LI Rauchfangkehrer,90
Gewerbe und Handwerk,125B - LI Bestatter,64
Gewerbe und Handwerk,126 - FG Gewerbliche Dienstleister,4999
Gewerbe und Handwerk,127 - FG Personenberatung und Personenbetreuung,17659
Gewerbe und Handwerk,128 - FG Persönliche Dienstleister,6305
Gewerbe und Handwerk,129 - Fv Film- und Musikwirtschaft,828
Industrie,201 - Fv Bergwerke und Stahl,35
Industrie,202 - Fv Mineralölindustrie,2
Industrie,203 - Fv Stein- und keramische Industrie,67
Industrie,204 - Fv Glasindustrie,5
Industrie,205 - Fv Chemische Industrie,80
Industrie,206 - Fv Papierindustrie,7
Industrie,207 - Fv Industr. Hersteller von Produkten aus Papier und Karton,18
Industrie,209 - Fv Bauindustrie,14
Industrie,210 - FG Holzindustrie,263
Industrie,211 - Fv Nahrungs- u.Genussmittelindustrie (Lebensmittelindustrie),73
Industrie,"212 - Fv Textil-, Bekleidungs-, Schuh- und Lederindustrie",30
Industrie,213 - Fv Gas- und Wärmeversorgungsunternehmungen,73
Industrie,215 - Fv NE-Metallindustrie,6
Industrie,216 - FG Metalltechnische Industrie,230
Industrie,217 - Fv Fahrzeugindustrie,33
Industrie,218 - Fv Elektro- und Elektronikindustrie,66
Industrie,299 - Industrie - noch nicht zugeordnete Fachgruppe,1
Handel,301 - LG Lebensmittelhandel,2537
Handel,302 - LG Tabaktrafikanten,648
Handel,303 - LG Arzneimittel/Drogerie/Parfümerie/ Chemikalien/Farbenhandel,1054
Handel,304A - LG Weinhandel,199
Handel,304B - LG Agrarhandel,655
Handel,305 - FG Energiehandel,274
Handel,"306 - LG Markt-, Straßen- und Wanderhandel",350
Handel,307 - LG Außenhandel,582
Handel,308 - LG Handel mit Mode und Freizeitartikel,1809
Handel,309 - LG Direktvertrieb,4028
Handel,310 - LG Papier- und Spielwarenhandel,263
Handel,311 - LG Handelsagenten,834
Handel,"312 - LG Juwelen-,Uhren-,Kunst-,Antiquitäten- u.Briefmarkenhdl.",345
Handel,"313 - LG Baustoff-, Eisen-, Hartwaren- und Holzhandel",3045
Handel,314 - LG Maschinen- und Technologiehandel,1690
Handel,315 - LG Fahrzeughandel,2860
Handel,"316 - Fv Foto-, Optik- und Medizinproduktehandel",581
Handel,317 - LG Elektro- und Einrichtungsfachhandel,1536
Handel,"318 - LG Versand-, Internet- und allgemeiner Handel",4462
Handel,320 - LG Versicherungsagenten,1594
Bank und Versicherung,401 - Fv Banken und Bankiers,15
Bank und Versicherung,402 - Fv Sparkassen,4
Bank und Versicherung,403 - Fv Volksbanken,4
Bank und Versicherung,404 - Fv Raiffeisenbanken,40
Bank und Versicherung,405 - Fv Landes-Hypothekenbanken,2
Bank und Versicherung,406 - Fv Versicherungsunternehmen,26
Transport und Verkehr,501 - Fv Schienenbahnen,22
Transport und Verkehr,"502 - FG Autobus-, Luftfahrt- und Schifffahrtunternehmungen",264
Transport und Verkehr,503 - FG Seilbahnen,104
Transport und Verkehr,504 - FG Spedition und Logistik,213
Transport und Verkehr,505 - FG Beförderungsgewerbe mit Personenkraftwagen,1634
Transport und Verkehr,506 - FG Güterbeförderungsgewerbe,2175
Transport und Verkehr,"507 - Fv Fahrschulen, allgemeiner Verkehr",131
Transport und Verkehr,"508 - FG Garagen-, Tankstellen- und Serviceunternehmungen",1404
Tourismus und Freizeitwirtschaft,601 - FG Gastronomie,6366
Tourismus und Freizeitwirtschaft,602 - FG Hotellerie,2387
Tourismus und Freizeitwirtschaft,603 - FG Gesundheitsbetriebe,503
Tourismus und Freizeitwirtschaft,604 - FG Reisebüros,274
Tourismus und Freizeitwirtschaft,"605 - FG Kino-, Kultur- und Vergnügungsbetriebe",347
Tourismus und Freizeitwirtschaft,606 - FG Freizeit- und Sportbetriebe,2770
Information und Consulting,701 - FG Entsorgungs- und Ressourcenmanagement,1020
Information und Consulting,702 - FG Finanzdienstleister,972
Information und Consulting,703 - FG Werbung und Marktkommunikation,4082
Information und Consulting,"704 - FG Unternehmensberatung, Buchhaltung und Informationstechn.",9619
Information und Consulting,705 - FG Ingenieurbüros,1505
Information und Consulting,706 - FG Druck,164
Information und Consulting,707 - FG Immobilien- und Vermögenstreuhänder,1254
Information und Consulting,708 - FG Buch- und Medienwirtschaft,339
Information und Consulting,709 - FG Versicherungsmakler und Berater in Vers.angelegenheiten,784
Information und Consulting,710 - Fv Telekommunikations- und Rundfunkunternehmungen,121
